Info    : Reading '../results/t13/domain.msh'...
Info    : 17 entities
Info    : 46707 nodes
Info    : Reading '../results/t13/domain.msh'...
Info    : 17 entities
Info    : 46707 nodes
Info    : 92692 elements
Info    : 92692 elements
Info    : Done reading '../results/t13/domain.msh'
Info    : Done reading '../results/t13/domain.msh'

	Heat conduction with two sinks (multiple) - Task Parallelism

> Path = ../results/t13
> Nbr of triangles = 92612
> Iterations:
i =   0 | cost = 1.8396 | cstr = 1.3151 | nder = 5.6962 | steps =  0 | lagr = 1.8396 | lm = 0.0000 | mu = 0.0000
i = 145 | cost = 1.4224 | cstr = 1.0502 | nder = 1.2376 | steps = 13 | lagr = 4.1335 | lm = 2.5839 | mu = 2.4836
i = 146 | cost = 1.4269 | cstr = 1.0464 | nder = 1.2129 | steps = 14 | lagr = 4.1657 | lm = 2.6193 | mu = 2.5266
i = 147 | cost = 1.4257 | cstr = 1.0430 | nder = 1.1145 | steps = 15 | lagr = 4.1901 | lm = 2.6522 | mu = 2.5663
i = 148 | cost = 1.4361 | cstr = 1.0387 | nder = 1.1683 | steps = 13 | lagr = 4.2188 | lm = 2.6805 | mu = 2.6031
i = 149 | cost = 1.4372 | cstr = 1.0346 | nder = 1.1581 | steps = 14 | lagr = 4.2348 | lm = 2.7053 | mu = 2.6363
i = 150 | cost = 1.4369 | cstr = 1.0299 | nder = 1.0931 | steps = 14 | lagr = 4.2434 | lm = 2.7257 | mu = 2.6659
i = 151 | cost = 1.4580 | cstr = 1.0261 | nder = 1.4552 | steps = 13 | lagr = 4.2726 | lm = 2.7437 | mu = 2.6915
i = 152 | cost = 1.4496 | cstr = 1.0217 | nder = 1.1403 | steps = 14 | lagr = 4.2660 | lm = 2.7572 | mu = 2.7139
i = 153 | cost = 1.4629 | cstr = 1.0166 | nder = 1.4966 | steps = 14 | lagr = 4.2743 | lm = 2.7657 | mu = 2.7325
i = 154 | cost = 1.4558 | cstr = 1.0140 | nder = 1.1004 | steps = 13 | lagr = 4.2691 | lm = 2.7747 | mu = 2.7467
i = 155 | cost = 1.4703 | cstr = 1.0103 | nder = 1.3158 | steps = 14 | lagr = 4.2783 | lm = 2.7793 | mu = 2.7587
i = 156 | cost = 1.4690 | cstr = 1.0071 | nder = 1.1168 | steps = 14 | lagr = 4.2702 | lm = 2.7816 | mu = 2.7675
i = 157 | cost = 1.4747 | cstr = 1.0033 | nder = 1.1207 | steps = 13 | lagr = 4.2640 | lm = 2.7801 | mu = 2.7735
i = 158 | cost = 1.4853 | cstr = 0.9991 | nder = 1.3392 | steps = 13 | lagr = 4.2572 | lm = 2.7745 | mu = 2.7763
> Stopping condition reached!
> Assembly time = 3.791282122000041 s
> Resolution time = 82.27563788999998 s
