Info    : Reading '../results/t10/domain.msh'...
Info    : 9 entities
Info    : 72857 nodes
Info    : 145712 elements
Info    : [  0%] Reading elements                                                                                Info    : [ 10%] Reading elements                                                                                Info    : [ 20%] Reading elements                                                                                Info    : [ 30%] Reading elements                                                                                Info    : [ 40%] Reading elements                                                                                Info    : [ 50%] Reading elements                                                                                Info    : [ 60%] Reading elements                                                                                Info    : [ 70%] Reading elements                                                                                Info    : [ 80%] Reading elements                                                                                Info    : [ 90%] Reading elements                                                                                                                                                                Info    : Done reading '../results/t10/domain.msh'

	Heat conduction 2 - Data Parallelism

> Path = ../results/t10
> Nbr of triangles = 144712
> Iterations:
i =   0 | cost = 0.1025 | cstr = 1.3405 | nder = 0.2571 | steps =  0 | lagr = 0.1025 | lm = 0.0000 | mu = 0.0000
i =  98 | cost = 0.1115 | cstr = 0.9987 | nder = 0.1013 | steps = 16 | lagr = 0.1111 | lm = 0.2971 | mu = 0.2996
i =  99 | cost = 0.1111 | cstr = 0.9994 | nder = 0.1054 | steps = 16 | lagr = 0.1110 | lm = 0.2973 | mu = 0.2985
i = 100 | cost = 0.1096 | cstr = 0.9989 | nder = 0.0999 | steps = 16 | lagr = 0.1093 | lm = 0.2958 | mu = 0.2980
i = 101 | cost = 0.1102 | cstr = 0.9990 | nder = 0.1085 | steps = 15 | lagr = 0.1099 | lm = 0.2950 | mu = 0.2970
i = 102 | cost = 0.1099 | cstr = 0.9990 | nder = 0.1110 | steps = 15 | lagr = 0.1097 | lm = 0.2942 | mu = 0.2961
i = 103 | cost = 0.1071 | cstr = 0.9994 | nder = 0.0923 | steps = 16 | lagr = 0.1069 | lm = 0.2940 | mu = 0.2952
i = 104 | cost = 0.1080 | cstr = 0.9989 | nder = 0.1036 | steps = 16 | lagr = 0.1077 | lm = 0.2924 | mu = 0.2947
i = 105 | cost = 0.1066 | cstr = 0.9988 | nder = 0.0934 | steps = 16 | lagr = 0.1063 | lm = 0.2912 | mu = 0.2936
i = 106 | cost = 0.1063 | cstr = 0.9987 | nder = 0.0919 | steps = 16 | lagr = 0.1059 | lm = 0.2900 | mu = 0.2925
i = 107 | cost = 0.1062 | cstr = 0.9986 | nder = 0.0936 | steps = 16 | lagr = 0.1058 | lm = 0.2886 | mu = 0.2914
i = 108 | cost = 0.1058 | cstr = 0.9984 | nder = 0.0930 | steps = 16 | lagr = 0.1054 | lm = 0.2870 | mu = 0.2901
i = 109 | cost = 0.1057 | cstr = 0.9974 | nder = 0.0931 | steps = 16 | lagr = 0.1049 | lm = 0.2835 | mu = 0.2887
i = 110 | cost = 0.1051 | cstr = 0.9971 | nder = 0.0916 | steps = 16 | lagr = 0.1042 | lm = 0.2805 | mu = 0.2864
i = 111 | cost = 0.1051 | cstr = 0.9970 | nder = 0.0969 | steps = 16 | lagr = 0.1043 | lm = 0.2778 | mu = 0.2837
i = 112 | cost = 0.1048 | cstr = 0.9969 | nder = 0.0935 | steps = 16 | lagr = 0.1039 | lm = 0.2749 | mu = 0.2811
i = 113 | cost = 0.1037 | cstr = 0.9972 | nder = 0.0901 | steps = 16 | lagr = 0.1030 | lm = 0.2728 | mu = 0.2783
