Info    : Reading '../results/t09/domain.msh'...
Info    : 13 entities
Info    : 46692 nodes
Info    : 92622 elements
Info    : Done reading '../results/t09/domain.msh'

	Heat conduction 1 - Data Parallelism

> Path = ../results/t09
> Nbr of triangles = 92582
> Iterations:
i = 166 | cost = 2.5269 | cstr = 0.9486 | nder = 1.2645 | steps = 13 | lagr = 2.4110 | lm = 2.2001 | mu = 2.3029
i = 167 | cost = 2.5144 | cstr = 0.9496 | nder = 1.1865 | steps = 13 | lagr = 2.4031 | lm = 2.1591 | mu = 2.2598
i = 168 | cost = 2.5008 | cstr = 0.9516 | nder = 1.1370 | steps = 13 | lagr = 2.3959 | lm = 2.1209 | mu = 2.2176
i = 169 | cost = 2.4962 | cstr = 0.9540 | nder = 1.1365 | steps = 13 | lagr = 2.3981 | lm = 2.0851 | mu = 2.1771
i = 170 | cost = 2.4937 | cstr = 0.9557 | nder = 1.1349 | steps = 13 | lagr = 2.4009 | lm = 2.0501 | mu = 2.1386
i = 171 | cost = 2.4894 | cstr = 0.9586 | nder = 1.2777 | steps = 14 | lagr = 2.4040 | lm = 2.0188 | mu = 2.1016
i = 172 | cost = 2.4669 | cstr = 0.9615 | nder = 1.1149 | steps = 13 | lagr = 2.3888 | lm = 1.9900 | mu = 2.0669
i = 173 | cost = 2.4569 | cstr = 0.9669 | nder = 1.1437 | steps = 14 | lagr = 2.3906 | lm = 1.9685 | mu = 2.0347
i = 174 | cost = 2.4455 | cstr = 0.9703 | nder = 1.1676 | steps = 14 | lagr = 2.3867 | lm = 1.9476 | mu = 2.0070
i = 175 | cost = 2.4525 | cstr = 0.9757 | nder = 1.3639 | steps = 13 | lagr = 2.4049 | lm = 1.9336 | mu = 1.9821
i = 176 | cost = 2.4373 | cstr = 0.9791 | nder = 1.3152 | steps = 13 | lagr = 2.3967 | lm = 1.9200 | mu = 1.9618
i = 177 | cost = 2.4133 | cstr = 0.9814 | nder = 1.1647 | steps = 14 | lagr = 2.3776 | lm = 1.9072 | mu = 1.9443
